timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-27 00:54:44,Pepperstone Razor,XAUUSD,5018.52,5018.76,0.24,24,Sydney,Tuesday
2026-01-27 00:54:44,Pepperstone Razor,EURUSD,1.18778,1.18778,0.0,0,Sydney,Tuesday
2026-01-27 00:54:44,Pepperstone Razor,GBPUSD,1.36734,1.36735,1e-05,1,Sydney,Tuesday
2026-01-27 00:54:45,Pepperstone Razor,USDJPY,154.273,154.275,0.002,2,Sydney,Tuesday
2026-01-27 00:54:45,Pepperstone Razor,AUDUSD,0.69085,0.69086,1e-05,1,Sydney,Tuesday
2026-01-27 00:54:45,Pepperstone Razor,NAS100,25771.3,25772.8,1.5,15,Sydney,Tuesday
2026-01-27 00:54:45,Pepperstone Razor,US500,6954.1,6954.5,0.4,4,Sydney,Tuesday
2026-01-27 00:54:45,Pepperstone Razor,US30,49247.4,49249.6,2.2,22,Sydney,Tuesday
2026-01-27 00:54:46,Pepperstone Razor,US2000,2659.0,2659.4,0.4,4,Sydney,Tuesday
2026-01-27 00:54:46,Pepperstone Razor,GER40,24931.2,24933.2,2.0,20,Sydney,Tuesday
2026-01-27 00:54:46,Pepperstone Razor,UK100,10157.7,10159.5,1.8,18,Sydney,Tuesday
2026-01-27 00:54:48,FusionMarkets Zero,XAUUSD,5025.95,5026.27,0.32,32,Sydney,Tuesday
2026-01-27 00:54:48,FusionMarkets Zero,EURUSD,1.18779,1.18779,0.0,0,Sydney,Tuesday
2026-01-27 00:54:48,FusionMarkets Zero,GBPUSD,1.36735,1.36735,0.0,0,Sydney,Tuesday
2026-01-27 00:54:48,FusionMarkets Zero,USDJPY,154.28,154.282,0.002,2,Sydney,Tuesday
2026-01-27 00:54:48,FusionMarkets Zero,AUDUSD,0.69083,0.69083,0.0,0,Sydney,Tuesday
2026-01-27 00:54:49,FusionMarkets Zero,NAS100,25771.82,25772.62,0.8,80,Sydney,Tuesday
2026-01-27 00:54:49,FusionMarkets Zero,US500,6954.06,6954.42,0.36,36,Sydney,Tuesday
2026-01-27 00:54:49,FusionMarkets Zero,US30,49261.47,49264.27,2.8,280,Sydney,Tuesday
2026-01-27 00:54:49,FusionMarkets Zero,US2000,2659.1,2659.4,0.3,30,Sydney,Tuesday
2026-01-27 00:54:49,FusionMarkets Zero,GER40,24940.03,24943.23,3.2,320,Sydney,Tuesday
2026-01-27 00:54:50,FusionMarkets Zero,UK100,10156.16,10157.96,1.8,180,Sydney,Tuesday
2026-01-27 00:54:52,ThinkMarkets ThinkZero,XAUUSD,5027.59,5027.67,0.08,8,Sydney,Tuesday
2026-01-27 00:54:52,ThinkMarkets ThinkZero,EURUSD,1.18777,1.18778,1e-05,1,Sydney,Tuesday
2026-01-27 00:54:52,ThinkMarkets ThinkZero,GBPUSD,1.36733,1.36738,5e-05,5,Sydney,Tuesday
2026-01-27 00:54:52,ThinkMarkets ThinkZero,USDJPY,154.276,154.282,0.006,6,Sydney,Tuesday
2026-01-27 00:54:53,ThinkMarkets ThinkZero,AUDUSD,0.69082,0.69085,3e-05,3,Sydney,Tuesday
2026-01-27 00:54:53,ThinkMarkets ThinkZero,NAS100,25790.14,25791.14,1.0,100,Sydney,Tuesday
2026-01-27 00:54:53,ThinkMarkets ThinkZero,US500,6957.32,6957.67,0.35,35,Sydney,Tuesday
2026-01-27 00:54:53,ThinkMarkets ThinkZero,US30,49292.25,49293.75,1.5,150,Sydney,Tuesday
2026-01-27 00:54:53,ThinkMarkets ThinkZero,US2000,2659.2,2660.0,0.8,80,Sydney,Tuesday
2026-01-27 00:54:54,ThinkMarkets ThinkZero,GER40,24947.1,24951.1,4.0,400,Sydney,Tuesday
2026-01-27 00:54:54,ThinkMarkets ThinkZero,UK100,10177.46,10183.76,6.3,630,Sydney,Tuesday
2026-01-27 00:54:56,ICMarkets Raw,XAUUSD,5027.03,5027.12,0.09,9,Sydney,Tuesday
2026-01-27 00:54:56,ICMarkets Raw,EURUSD,1.18778,1.18778,0.0,0,Sydney,Tuesday
2026-01-27 00:54:56,ICMarkets Raw,GBPUSD,1.36736,1.36737,1e-05,1,Sydney,Tuesday
2026-01-27 00:54:56,ICMarkets Raw,USDJPY,154.28,154.282,0.002,2,Sydney,Tuesday
2026-01-27 00:54:57,ICMarkets Raw,AUDUSD,0.69083,0.69083,0.0,0,Sydney,Tuesday
2026-01-27 00:54:57,ICMarkets Raw,NAS100,25768.1,25769.1,1.0,100,Sydney,Tuesday
