timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-23 00:02:16,Pepperstone Razor,XAUUSD,4944.49,4945.42,0.93,93,Sydney,Friday
2026-01-23 00:02:17,Pepperstone Razor,EURUSD,1.17484,1.17547,0.00063,63,Sydney,Friday
2026-01-23 00:02:18,Pepperstone Razor,GBPUSD,1.34924,1.35094,0.0017,170,Sydney,Friday
2026-01-23 00:02:19,Pepperstone Razor,USDJPY,158.34,158.439,0.099,99,Sydney,Friday
2026-01-23 00:02:20,Pepperstone Razor,AUDUSD,0.68377,0.68408,0.00031,31,Sydney,Friday
2026-01-23 00:02:23,FusionMarkets Zero,XAUUSD,4941.25,4941.44,0.19,19,Sydney,Friday
2026-01-23 00:02:24,FusionMarkets Zero,EURUSD,1.17515,1.17521,6e-05,6,Sydney,Friday
2026-01-23 00:02:25,FusionMarkets Zero,GBPUSD,1.34842,1.34976,0.00134,134,Sydney,Friday
2026-01-23 00:02:25,FusionMarkets Zero,USDJPY,158.368,158.424,0.056,56,Sydney,Friday
2026-01-23 00:02:26,FusionMarkets Zero,AUDUSD,0.68384,0.6839,6e-05,6,Sydney,Friday
2026-01-23 00:02:29,ThinkMarkets ThinkZero,XAUUSD,4943.99,4944.07,0.08,8,Sydney,Friday
2026-01-23 00:02:30,ThinkMarkets ThinkZero,EURUSD,1.17464,1.17576,0.00112,112,Sydney,Friday
2026-01-23 00:02:31,ThinkMarkets ThinkZero,GBPUSD,1.34813,1.35063,0.0025,250,Sydney,Friday
2026-01-23 00:02:32,ThinkMarkets ThinkZero,USDJPY,158.302,158.483,0.181,181,Sydney,Friday
2026-01-23 00:02:33,ThinkMarkets ThinkZero,AUDUSD,0.68352,0.6843,0.00078,78,Sydney,Friday
2026-01-23 00:02:35,ICMarkets Raw,XAUUSD,4941.43,4941.59,0.16,16,Sydney,Friday
2026-01-23 00:02:36,ICMarkets Raw,EURUSD,1.17482,1.17552,0.0007,70,Sydney,Friday
2026-01-23 00:02:37,ICMarkets Raw,GBPUSD,1.34947,1.35067,0.0012,120,Sydney,Friday
2026-01-23 00:02:38,ICMarkets Raw,USDJPY,158.345,158.433,0.088,88,Sydney,Friday
2026-01-23 00:02:39,ICMarkets Raw,AUDUSD,0.6838,0.68422,0.00042,42,Sydney,Friday
2026-01-23 00:02:42,VantageMarkets Raw,XAUUSD,4942.06,4942.14,0.08,8,Sydney,Friday
2026-01-23 00:02:43,VantageMarkets Raw,EURUSD,1.17478,1.17554,0.00076,76,Sydney,Friday
2026-01-23 00:02:44,VantageMarkets Raw,GBPUSD,1.34849,1.34993,0.00144,144,Sydney,Friday
2026-01-23 00:02:45,VantageMarkets Raw,USDJPY,158.356,158.439,0.083,83,Sydney,Friday
2026-01-23 00:02:46,VantageMarkets Raw,AUDUSD,0.68372,0.68417,0.00045,45,Sydney,Friday
2026-01-23 00:02:49,FPMarkets Raw,XAUUSD,4941.96,4942.03,0.07,7,Sydney,Friday
2026-01-23 00:02:50,FPMarkets Raw,EURUSD,1.17487,1.17552,0.00065,65,Sydney,Friday
2026-01-23 00:02:51,FPMarkets Raw,GBPUSD,1.34841,1.35041,0.002,200,Sydney,Friday
2026-01-23 00:02:52,FPMarkets Raw,USDJPY,158.335,158.455,0.12,120,Sydney,Friday
2026-01-23 00:02:53,FPMarkets Raw,AUDUSD,0.68381,0.6841,0.00029,29,Sydney,Friday
2026-01-23 00:02:54,8Cap Raw,XAUUSD,4942.22,4942.48,0.26,26,Sydney,Friday
2026-01-23 00:02:55,8Cap Raw,EURUSD,1.17482,1.17562,0.0008,80,Sydney,Friday
2026-01-23 00:02:56,8Cap Raw,GBPUSD,1.34832,1.3501,0.00178,178,Sydney,Friday
2026-01-23 00:02:56,8Cap Raw,USDJPY,158.365,158.452,0.087,87,Sydney,Friday
2026-01-23 00:02:57,8Cap Raw,AUDUSD,0.68369,0.68421,0.00052,52,Sydney,Friday
2026-01-23 00:07:16,Pepperstone Razor,XAUUSD,4944.49,4945.42,0.93,93,Sydney,Friday
2026-01-23 00:07:17,Pepperstone Razor,EURUSD,1.17512,1.17558,0.00046,46,Sydney,Friday
2026-01-23 00:07:17,Pepperstone Razor,GBPUSD,1.34885,1.35055,0.0017,170,Sydney,Friday
2026-01-23 00:07:18,Pepperstone Razor,USDJPY,158.337,158.436,0.099,99,Sydney,Friday
2026-01-23 00:07:19,Pepperstone Razor,AUDUSD,0.68377,0.68405,0.00028,28,Sydney,Friday
2026-01-23 00:07:22,FusionMarkets Zero,XAUUSD,4941.25,4941.44,0.19,19,Sydney,Friday
2026-01-23 00:07:23,FusionMarkets Zero,EURUSD,1.17522,1.17528,6e-05,6,Sydney,Friday
2026-01-23 00:07:24,FusionMarkets Zero,GBPUSD,1.34897,1.35005,0.00108,108,Sydney,Friday
2026-01-23 00:07:25,FusionMarkets Zero,USDJPY,158.366,158.42,0.054,54,Sydney,Friday
2026-01-23 00:07:26,FusionMarkets Zero,AUDUSD,0.68393,0.68399,6e-05,6,Sydney,Friday
2026-01-23 00:07:29,ThinkMarkets ThinkZero,XAUUSD,4943.99,4944.07,0.08,8,Sydney,Friday
2026-01-23 00:07:30,ThinkMarkets ThinkZero,EURUSD,1.17483,1.17563,0.0008,80,Sydney,Friday
2026-01-23 00:07:31,ThinkMarkets ThinkZero,GBPUSD,1.34822,1.35038,0.00216,216,Sydney,Friday
2026-01-23 00:07:32,ThinkMarkets ThinkZero,USDJPY,158.328,158.474,0.146,146,Sydney,Friday
2026-01-23 00:07:32,ThinkMarkets ThinkZero,AUDUSD,0.68354,0.6843,0.00076,76,Sydney,Friday
2026-01-23 00:07:35,ICMarkets Raw,XAUUSD,4941.43,4941.59,0.16,16,Sydney,Friday
2026-01-23 00:07:36,ICMarkets Raw,EURUSD,1.17528,1.17555,0.00027,27,Sydney,Friday
2026-01-23 00:07:37,ICMarkets Raw,GBPUSD,1.34912,1.35032,0.0012,120,Sydney,Friday
2026-01-23 00:07:38,ICMarkets Raw,USDJPY,158.347,158.433,0.086,86,Sydney,Friday
2026-01-23 00:07:39,ICMarkets Raw,AUDUSD,0.6838,0.68417,0.00037,37,Sydney,Friday
2026-01-23 00:07:41,VantageMarkets Raw,XAUUSD,4942.06,4942.14,0.08,8,Sydney,Friday
2026-01-23 00:07:42,VantageMarkets Raw,EURUSD,1.17527,1.17553,0.00026,26,Sydney,Friday
2026-01-23 00:07:43,VantageMarkets Raw,GBPUSD,1.34889,1.35013,0.00124,124,Sydney,Friday
