timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-21 00:01:17,Pepperstone Razor,XAUUSD,4760.68,4761.7,1.02,102,Sydney,Wednesday
2026-01-21 00:01:18,Pepperstone Razor,EURUSD,1.17202,1.17301,0.00099,99,Sydney,Wednesday
2026-01-21 00:01:19,Pepperstone Razor,GBPUSD,1.34358,1.34528,0.0017,170,Sydney,Wednesday
2026-01-21 00:01:20,Pepperstone Razor,USDJPY,158.131,158.194,0.063,63,Sydney,Wednesday
2026-01-21 00:01:21,Pepperstone Razor,AUDUSD,0.67299,0.67386,0.00087,87,Sydney,Wednesday
2026-01-21 00:01:23,FusionMarkets Zero,XAUUSD,4763.72,4763.93,0.21,21,Sydney,Wednesday
2026-01-21 00:01:24,FusionMarkets Zero,EURUSD,1.17241,1.17247,6e-05,6,Sydney,Wednesday
2026-01-21 00:01:25,FusionMarkets Zero,GBPUSD,1.34421,1.34458,0.00037,37,Sydney,Wednesday
2026-01-21 00:01:26,FusionMarkets Zero,USDJPY,158.139,158.191,0.052,52,Sydney,Wednesday
2026-01-21 00:01:27,FusionMarkets Zero,AUDUSD,0.67322,0.67328,6e-05,6,Sydney,Wednesday
2026-01-21 00:01:30,ThinkMarkets ThinkZero,XAUUSD,4760.89,4762.15,1.26,126,Sydney,Wednesday
2026-01-21 00:01:31,ThinkMarkets ThinkZero,EURUSD,1.17171,1.17301,0.0013,130,Sydney,Wednesday
2026-01-21 00:01:32,ThinkMarkets ThinkZero,GBPUSD,1.34305,1.34555,0.0025,250,Sydney,Wednesday
2026-01-21 00:01:33,ThinkMarkets ThinkZero,USDJPY,158.086,158.244,0.158,158,Sydney,Wednesday
2026-01-21 00:01:34,ThinkMarkets ThinkZero,AUDUSD,0.67275,0.67387,0.00112,112,Sydney,Wednesday
2026-01-21 00:01:37,ICMarkets Raw,XAUUSD,4762.95,4763.13,0.18,18,Sydney,Wednesday
2026-01-21 00:01:38,ICMarkets Raw,EURUSD,1.17223,1.17281,0.00058,58,Sydney,Wednesday
2026-01-21 00:01:39,ICMarkets Raw,GBPUSD,1.34411,1.34469,0.00058,58,Sydney,Wednesday
2026-01-21 00:01:40,ICMarkets Raw,USDJPY,158.132,158.198,0.066,66,Sydney,Wednesday
2026-01-21 00:01:41,ICMarkets Raw,AUDUSD,0.67315,0.67373,0.00058,58,Sydney,Wednesday
2026-01-21 00:01:44,VantageMarkets Raw,XAUUSD,4765.6,4765.68,0.08,8,Sydney,Wednesday
2026-01-21 00:01:44,VantageMarkets Raw,EURUSD,1.17186,1.17246,0.0006,60,Sydney,Wednesday
2026-01-21 00:01:45,VantageMarkets Raw,GBPUSD,1.34318,1.34447,0.00129,129,Sydney,Wednesday
2026-01-21 00:01:46,VantageMarkets Raw,USDJPY,158.132,158.198,0.066,66,Sydney,Wednesday
2026-01-21 00:01:47,VantageMarkets Raw,AUDUSD,0.67299,0.67357,0.00058,58,Sydney,Wednesday
2026-01-21 00:01:50,FPMarkets Raw,XAUUSD,4765.76,4765.83,0.07,7,Sydney,Wednesday
2026-01-21 00:01:51,FPMarkets Raw,EURUSD,1.17193,1.17313,0.0012,120,Sydney,Wednesday
2026-01-21 00:01:52,FPMarkets Raw,GBPUSD,1.34356,1.34411,0.00055,55,Sydney,Wednesday
2026-01-21 00:01:53,FPMarkets Raw,USDJPY,158.1,158.23,0.13,130,Sydney,Wednesday
2026-01-21 00:01:54,FPMarkets Raw,AUDUSD,0.67279,0.67368,0.00089,89,Sydney,Wednesday
2026-01-21 00:01:56,8Cap Raw,XAUUSD,4764.63,4764.89,0.26,26,Sydney,Wednesday
2026-01-21 00:01:57,8Cap Raw,EURUSD,1.1718,1.17256,0.00076,76,Sydney,Wednesday
2026-01-21 00:01:58,8Cap Raw,GBPUSD,1.34387,1.34462,0.00075,75,Sydney,Wednesday
2026-01-21 00:01:58,8Cap Raw,USDJPY,158.118,158.202,0.084,84,Sydney,Wednesday
2026-01-21 00:01:59,8Cap Raw,AUDUSD,0.67286,0.6738,0.00094,94,Sydney,Wednesday
