timestamp,broker,symbol,bid,ask,spread,spread_points,session,day_of_week
2026-01-22 00:02:16,Pepperstone Razor,XAUUSD,4832.0,4833.5,1.5,150,Sydney,Thursday
2026-01-22 00:02:17,Pepperstone Razor,EURUSD,1.16812,1.16878,0.00066,66,Sydney,Thursday
2026-01-22 00:02:18,Pepperstone Razor,GBPUSD,1.34202,1.34372,0.0017,170,Sydney,Thursday
2026-01-22 00:02:19,Pepperstone Razor,USDJPY,158.253,158.353,0.1,100,Sydney,Thursday
2026-01-22 00:02:20,Pepperstone Razor,AUDUSD,0.67589,0.67626,0.00037,37,Sydney,Thursday
2026-01-22 00:02:23,FusionMarkets Zero,XAUUSD,4833.97,4834.09,0.12,12,Sydney,Thursday
2026-01-22 00:02:23,FusionMarkets Zero,EURUSD,1.16838,1.16844,6e-05,6,Sydney,Thursday
2026-01-22 00:02:24,FusionMarkets Zero,GBPUSD,1.34278,1.34313,0.00035,35,Sydney,Thursday
2026-01-22 00:02:25,FusionMarkets Zero,USDJPY,158.261,158.329,0.068,68,Sydney,Thursday
2026-01-22 00:02:26,FusionMarkets Zero,AUDUSD,0.67587,0.67593,6e-05,6,Sydney,Thursday
2026-01-22 00:02:29,ThinkMarkets ThinkZero,XAUUSD,4831.6,4831.68,0.08,8,Sydney,Thursday
2026-01-22 00:02:30,ThinkMarkets ThinkZero,EURUSD,1.1679,1.16903,0.00113,113,Sydney,Thursday
2026-01-22 00:02:31,ThinkMarkets ThinkZero,GBPUSD,1.34175,1.3442,0.00245,245,Sydney,Thursday
2026-01-22 00:02:32,ThinkMarkets ThinkZero,USDJPY,158.214,158.39,0.176,176,Sydney,Thursday
2026-01-22 00:02:33,ThinkMarkets ThinkZero,AUDUSD,0.67552,0.67647,0.00095,95,Sydney,Thursday
2026-01-22 00:02:36,ICMarkets Raw,XAUUSD,4832.77,4833.27,0.5,50,Sydney,Thursday
2026-01-22 00:02:36,ICMarkets Raw,EURUSD,1.16806,1.16876,0.0007,70,Sydney,Thursday
2026-01-22 00:02:37,ICMarkets Raw,GBPUSD,1.34256,1.34309,0.00053,53,Sydney,Thursday
2026-01-22 00:02:38,ICMarkets Raw,USDJPY,158.257,158.357,0.1,100,Sydney,Thursday
2026-01-22 00:02:39,ICMarkets Raw,AUDUSD,0.67582,0.67632,0.0005,50,Sydney,Thursday
2026-01-22 00:02:42,VantageMarkets Raw,XAUUSD,4833.87,4833.95,0.08,8,Sydney,Thursday
2026-01-22 00:02:43,VantageMarkets Raw,EURUSD,1.16812,1.16883,0.00071,71,Sydney,Thursday
2026-01-22 00:02:44,VantageMarkets Raw,GBPUSD,1.34273,1.34319,0.00046,46,Sydney,Thursday
2026-01-22 00:02:44,VantageMarkets Raw,USDJPY,158.248,158.342,0.094,94,Sydney,Thursday
2026-01-22 00:02:45,VantageMarkets Raw,AUDUSD,0.67572,0.67625,0.00053,53,Sydney,Thursday
2026-01-22 00:02:48,FPMarkets Raw,XAUUSD,4832.84,4832.91,0.07,7,Sydney,Thursday
2026-01-22 00:02:49,FPMarkets Raw,EURUSD,1.16818,1.1687,0.00052,52,Sydney,Thursday
2026-01-22 00:02:50,FPMarkets Raw,GBPUSD,1.34195,1.34394,0.00199,199,Sydney,Thursday
2026-01-22 00:02:51,FPMarkets Raw,USDJPY,158.243,158.373,0.13,130,Sydney,Thursday
2026-01-22 00:02:52,FPMarkets Raw,AUDUSD,0.67587,0.67631,0.00044,44,Sydney,Thursday
2026-01-22 00:02:54,8Cap Raw,XAUUSD,4833.86,4834.12,0.26,26,Sydney,Thursday
2026-01-22 00:02:54,8Cap Raw,EURUSD,1.16803,1.16891,0.00088,88,Sydney,Thursday
2026-01-22 00:02:55,8Cap Raw,GBPUSD,1.34256,1.34337,0.00081,81,Sydney,Thursday
2026-01-22 00:02:56,8Cap Raw,USDJPY,158.251,158.341,0.09,90,Sydney,Thursday
2026-01-22 00:02:56,8Cap Raw,AUDUSD,0.67565,0.6763,0.00065,65,Sydney,Thursday
2026-01-22 00:07:16,Pepperstone Razor,XAUUSD,4832.0,4833.5,1.5,150,Sydney,Thursday
2026-01-22 00:07:17,Pepperstone Razor,EURUSD,1.16835,1.16874,0.00039,39,Sydney,Thursday
2026-01-22 00:07:18,Pepperstone Razor,GBPUSD,1.34235,1.34353,0.00118,118,Sydney,Thursday
2026-01-22 00:07:19,Pepperstone Razor,USDJPY,158.277,158.335,0.058,58,Sydney,Thursday
2026-01-22 00:07:19,Pepperstone Razor,AUDUSD,0.67604,0.67638,0.00034,34,Sydney,Thursday
2026-01-22 00:07:23,FusionMarkets Zero,XAUUSD,4833.97,4834.09,0.12,12,Sydney,Thursday
2026-01-22 00:07:23,FusionMarkets Zero,EURUSD,1.16845,1.16851,6e-05,6,Sydney,Thursday
2026-01-22 00:07:24,FusionMarkets Zero,GBPUSD,1.34296,1.34331,0.00035,35,Sydney,Thursday
2026-01-22 00:07:25,FusionMarkets Zero,USDJPY,158.263,158.315,0.052,52,Sydney,Thursday
2026-01-22 00:07:26,FusionMarkets Zero,AUDUSD,0.67621,0.67627,6e-05,6,Sydney,Thursday
2026-01-22 00:07:29,ThinkMarkets ThinkZero,XAUUSD,4831.6,4831.68,0.08,8,Sydney,Thursday
2026-01-22 00:07:30,ThinkMarkets ThinkZero,EURUSD,1.16809,1.16892,0.00083,83,Sydney,Thursday
2026-01-22 00:07:31,ThinkMarkets ThinkZero,GBPUSD,1.34186,1.34348,0.00162,162,Sydney,Thursday
2026-01-22 00:07:32,ThinkMarkets ThinkZero,USDJPY,158.249,158.38,0.131,131,Sydney,Thursday
2026-01-22 00:07:33,ThinkMarkets ThinkZero,AUDUSD,0.67574,0.6765,0.00076,76,Sydney,Thursday
2026-01-22 00:07:36,ICMarkets Raw,XAUUSD,4832.77,4833.27,0.5,50,Sydney,Thursday
2026-01-22 00:07:36,ICMarkets Raw,EURUSD,1.16842,1.16883,0.00041,41,Sydney,Thursday
2026-01-22 00:07:37,ICMarkets Raw,GBPUSD,1.34251,1.34311,0.0006,60,Sydney,Thursday
2026-01-22 00:07:38,ICMarkets Raw,USDJPY,158.273,158.339,0.066,66,Sydney,Thursday
2026-01-22 00:07:39,ICMarkets Raw,AUDUSD,0.67606,0.67641,0.00035,35,Sydney,Thursday
2026-01-22 00:07:41,VantageMarkets Raw,XAUUSD,4833.87,4833.95,0.08,8,Sydney,Thursday
2026-01-22 00:07:42,VantageMarkets Raw,EURUSD,1.16841,1.16881,0.0004,40,Sydney,Thursday
2026-01-22 00:07:43,VantageMarkets Raw,GBPUSD,1.34271,1.34324,0.00053,53,Sydney,Thursday
2026-01-22 00:07:44,VantageMarkets Raw,USDJPY,158.266,158.333,0.067,67,Sydney,Thursday
2026-01-22 00:07:45,VantageMarkets Raw,AUDUSD,0.67607,0.67642,0.00035,35,Sydney,Thursday
2026-01-22 00:07:48,FPMarkets Raw,XAUUSD,4832.84,4832.91,0.07,7,Sydney,Thursday
2026-01-22 00:07:49,FPMarkets Raw,EURUSD,1.16838,1.16874,0.00036,36,Sydney,Thursday
2026-01-22 00:07:50,FPMarkets Raw,GBPUSD,1.34234,1.34355,0.00121,121,Sydney,Thursday
2026-01-22 00:07:51,FPMarkets Raw,USDJPY,158.276,158.35,0.074,74,Sydney,Thursday
2026-01-22 00:07:52,FPMarkets Raw,AUDUSD,0.67617,0.67637,0.0002,20,Sydney,Thursday
2026-01-22 00:07:53,8Cap Raw,XAUUSD,4833.86,4834.12,0.26,26,Sydney,Thursday
2026-01-22 00:07:54,8Cap Raw,EURUSD,1.16831,1.16884,0.00053,53,Sydney,Thursday
2026-01-22 00:07:55,8Cap Raw,GBPUSD,1.34258,1.34341,0.00083,83,Sydney,Thursday
2026-01-22 00:07:55,8Cap Raw,USDJPY,158.265,158.348,0.083,83,Sydney,Thursday
2026-01-22 00:07:56,8Cap Raw,AUDUSD,0.67603,0.67647,0.00044,44,Sydney,Thursday
2026-01-22 00:12:16,Pepperstone Razor,XAUUSD,4832.0,4833.5,1.5,150,Sydney,Thursday
2026-01-22 00:12:17,Pepperstone Razor,EURUSD,1.16832,1.16867,0.00035,35,Sydney,Thursday
2026-01-22 00:12:18,Pepperstone Razor,GBPUSD,1.3421,1.34352,0.00142,142,Sydney,Thursday
2026-01-22 00:12:19,Pepperstone Razor,USDJPY,158.277,158.334,0.057,57,Sydney,Thursday
2026-01-22 00:12:20,Pepperstone Razor,AUDUSD,0.67613,0.67623,0.0001,10,Sydney,Thursday
2026-01-22 00:12:22,FusionMarkets Zero,XAUUSD,4833.97,4834.09,0.12,12,Sydney,Thursday
2026-01-22 00:12:23,FusionMarkets Zero,EURUSD,1.16845,1.16865,0.0002,20,Sydney,Thursday
2026-01-22 00:12:24,FusionMarkets Zero,GBPUSD,1.34284,1.34319,0.00035,35,Sydney,Thursday
2026-01-22 00:12:25,FusionMarkets Zero,USDJPY,158.271,158.323,0.052,52,Sydney,Thursday
2026-01-22 00:12:26,FusionMarkets Zero,AUDUSD,0.67598,0.67624,0.00026,26,Sydney,Thursday
2026-01-22 00:12:29,ThinkMarkets ThinkZero,XAUUSD,4831.6,4831.68,0.08,8,Sydney,Thursday
2026-01-22 00:12:29,ThinkMarkets ThinkZero,EURUSD,1.16808,1.16886,0.00078,78,Sydney,Thursday
2026-01-22 00:12:30,ThinkMarkets ThinkZero,GBPUSD,1.342,1.34341,0.00141,141,Sydney,Thursday
2026-01-22 00:12:31,ThinkMarkets ThinkZero,USDJPY,158.248,158.377,0.129,129,Sydney,Thursday
2026-01-22 00:12:32,ThinkMarkets ThinkZero,AUDUSD,0.67563,0.67648,0.00085,85,Sydney,Thursday
2026-01-22 00:12:35,ICMarkets Raw,XAUUSD,4832.77,4833.27,0.5,50,Sydney,Thursday
2026-01-22 00:12:36,ICMarkets Raw,EURUSD,1.16839,1.16867,0.00028,28,Sydney,Thursday
2026-01-22 00:12:37,ICMarkets Raw,GBPUSD,1.34264,1.34309,0.00045,45,Sydney,Thursday
2026-01-22 00:12:38,ICMarkets Raw,USDJPY,158.268,158.334,0.066,66,Sydney,Thursday
2026-01-22 00:12:39,ICMarkets Raw,AUDUSD,0.67589,0.67629,0.0004,40,Sydney,Thursday
